Source protein	Target protein	Source gene	Target gene	Supportability	Mean MR	Function
Metalloproteinase inhibitor 4	Ferritin light chain	TIMP4	FTL	3	7964.434999999999	ferritin light chain
Metalloproteinase inhibitor 2	Ferritin light chain	TIMP2	FTL	3	6354.327499999999	ferritin light chain
Metalloproteinase inhibitor 1	Ferritin light chain	TIMP1	FTL	3	3866.645	ferritin light chain
Tissue_factor_pathway_inhibitor	Ferritin light chain	TFPI	FTL	3	7167.905000000001	ferritin light chain
Osteopontin	Ferritin light chain	SPP1	FTL	3	4225.174999999999	ferritin light chain
Spermine oxidase	Ferritin light chain	SMOX	FTL	3	6661.329999999999	ferritin light chain
Sex hormone-binding globulin	Ferritin light chain	SHBG	FTL	3	7459.835	ferritin light chain
Plasma protease C1 inhibitor	Ferritin light chain	SERPING1	FTL	3	8458.6075	ferritin light chain
Pigment epithelium-derived factor	Ferritin light chain	SERPINF1	FTL	3	7499.894999999999	ferritin light chain
Plasminogen activator inhibitor 1	Ferritin light chain	SERPINE1	FTL	3	8175.559999999999	ferritin light chain
Alpha-1-antitrypsin	Ferritin light chain	SERPINA1	FTL	3	7400.032500000001	ferritin light chain
Protein S100-A9	Ferritin light chain	S100A9	FTL	3	8213.3675	ferritin light chain
Retinol-binding protein 4	Ferritin light chain	RBP4	FTL	3	7463.77	ferritin light chain
Vitamin K-dependent protein S	Ferritin light chain	PROS1	FTL	3	7523.825	ferritin light chain
Peroxiredoxin-1	Ferritin light chain	PRDX1	FTL	3	2358.68	ferritin light chain
Phospholipid transfer protein	Ferritin light chain	PLTP	FTL	3	4496.9475	ferritin light chain
Platelet-activating factor acetylhydrolase	Ferritin light chain	PLA2G7	FTL	3	5939.3175	ferritin light chain
Xaa-Pro dipeptidase	Ferritin light chain	PEPD	FTL	3	2187.235	ferritin light chain
Platelet endothelial cell adhesion molecule	Ferritin light chain	PECAM1	FTL	3	8243.5525	ferritin light chain
Alpha-1-acid glycoprotein 1	Ferritin light chain	ORM1	FTL	3	8464.76	ferritin light chain
Oxidized low-density lipoprotein receptor 1	Ferritin light chain	OLR1	FTL	3	7163.2325	ferritin light chain
Matrix metalloproteinase-9	Ferritin light chain	MMP9	FTL	3	8240.7875	ferritin light chain
Myelin basic protein	Ferritin light chain	MBP	FTL	3	7786.849999999999	ferritin light chain
Galectin-3	Ferritin light chain	LGALS3	FTL	3	3401.8075	ferritin light chain
Plastin-2	Ferritin light chain	LCP1	FTL	3	7325.7325	ferritin light chain
Lipopolysaccharide-binding protein	Ferritin light chain	LBP	FTL	3	8476.130000000001	ferritin light chain
Interleukin-10	Ferritin light chain	IL10	FTL	3	8754.545	ferritin light chain
Cation-independent mannose-6-phosphate receptor	Ferritin light chain	IGF2R	FTL	3	4510.98	ferritin light chain
Intercellular adhesion molecule 1	Ferritin light chain	ICAM1	FTL	3	7083.030000000001	ferritin light chain
Heat shock protein beta-1	Ferritin light chain	HSPB1	FTL	3	6902.639999999999	ferritin light chain
78 kDa glucose-regulated protein	Ferritin light chain	HSPA5	FTL	3	7851.1025	ferritin light chain
Haptoglobin	Ferritin light chain	HP	FTL	3	8482.2925	ferritin light chain
Hemoglobin subunit alpha	Ferritin light chain	HBA1	FTL	3	7582.62	ferritin light chain
Glutathione S-transferase P	Ferritin light chain	GSTP1	FTL	3	3921.480000000001	ferritin light chain
Glutathione peroxidase 3	Ferritin light chain	GPX3	FTL	3	3798.7275	ferritin light chain
Ferritin heavy chain	Ferritin light chain	FTH1	FTL	3	136.355	ferritin light chain
Fibronectin	Ferritin light chain	FN1	FTL	3	8143.4425	ferritin light chain
Fatty acid-binding protein heart	Ferritin light chain	FABP3	FTL	3	5364.31	ferritin light chain
Clusterin	Ferritin light chain	CLU	FTL	3	6151.5625	ferritin light chain
Di-N-acetylchitobiase	Ferritin light chain	CTBS	FTL	3	7011.955	ferritin light chain
Complement factor B	Ferritin light chain	CFD	FTL	3	6142.3325	ferritin light chain
Complement factor D	Ferritin light chain	CFD	FTL	3	6142.3325	ferritin light chain
Complement C3	Ferritin light chain	C3	FTL	3	6991.702499999999	ferritin light chain
Complement C2	Ferritin light chain	C2	FTL	3	5204.4575	ferritin light chain
Complement C1s subcomponent	Ferritin light chain	C1S	FTL	3	6690.725	ferritin light chain
Complement C1q subcomponent subunit C	Ferritin light chain	C1QC	FTL	3	5479.405	ferritin light chain
Complement C1q subcomponent subunit B	Ferritin light chain	C1QB	FTL	3	5330.0475	ferritin light chain
Complement C1q subcomponent subunit A	Ferritin light chain	C1QA	FTL	3	5271.7	ferritin light chain
Biotinidase	Ferritin light chain	BTD	FTL	3	6719.24	ferritin light chain
Beta-2-microglobulin	Ferritin light chain	B2M	FTL	3	4719.2325	ferritin light chain
Apolipoprotein M	Ferritin light chain	APOM	FTL	3	6088.35	ferritin light chain
Apolipoprotein E	Ferritin light chain	APOE	FTL	3	3736.6875	ferritin light chain
Apolipoprotein C-II	Ferritin light chain	APOC2	FTL	3	5511.956666666666	ferritin light chain
Apolipoprotein C-I	Ferritin light chain	APOC1	FTL	3	3251.9125000000004	ferritin light chain
Apolipoprotein A-II	Ferritin light chain	APOA2	FTL	3	8422.975	ferritin light chain
Adipocyte plasma membrane-associated protein	Ferritin light chain	APMAP	FTL	3	6261.52	ferritin light chain
Angiogenin	Ferritin light chain	ANG	FTL	3	6865.385	ferritin light chain
Protein AMBP	Ferritin light chain	AMBP	FTL	3	7993.455	ferritin light chain
Angiotensinogen	Ferritin light chain	AGT	FTL	3	6667.172500000001	ferritin light chain
ADM	Ferritin light chain	ADM	FTL	3	4929.6825	ferritin light chain
Vascular endothelial growth factor D	Peroxiredoxin-1	VEGFD	PRDX1	3	7678.4625	peroxiredoxin 1
Transferrin receptor protein 1	Peroxiredoxin-1	TFRC	PRDX1	3	5698.7875	peroxiredoxin 1
Osteopontin	Peroxiredoxin-1	SPP1	PRDX1	3	6581.3125	peroxiredoxin 1
Platelet-activating factor acetylhydrolase	Peroxiredoxin-1	PLA2G7	PRDX1	3	7963.2025	peroxiredoxin 1
Xaa-Pro dipeptidase	Peroxiredoxin-1	PEPD	PRDX1	3	3643.655	peroxiredoxin 1
Protein_deglycase_DJ-1	Peroxiredoxin-1	PARK7	PRDX1	3	1158.22	peroxiredoxin 1
Oxidized low-density lipoprotein receptor 1	Peroxiredoxin-1	OLR1	PRDX1	3	8812.9525	peroxiredoxin 1
Nucleoside diphosphate kinase A	Peroxiredoxin-1	NME1	PRDX1	3	2259.365	peroxiredoxin 1
Galectin-3	Peroxiredoxin-1	LGALS3	PRDX1	3	7365.0325	peroxiredoxin 1
Plastin-2	Peroxiredoxin-1	LCP1	PRDX1	3	8056.775000000001	peroxiredoxin 1
60 kDa heat shock protein mitochondrial	Peroxiredoxin-1	HSPD1	PRDX1	3	3877.05	peroxiredoxin 1
Heat shock protein beta-1	Peroxiredoxin-1	HSPB1	PRDX1	3	4620.86	peroxiredoxin 1
Glutathione S-transferase P	Peroxiredoxin-1	GSTP1	PRDX1	3	2886.3575	peroxiredoxin 1
Glutathione peroxidase 3	Peroxiredoxin-1	GPX3	PRDX1	3	7432.875	peroxiredoxin 1
Ferritin light chain	Peroxiredoxin-1	FTL	PRDX1	3	2358.68	peroxiredoxin 1
Ferritin heavy chain	Peroxiredoxin-1	FTH1	PRDX1	3	4409.5975	peroxiredoxin 1
Fatty acid-binding protein heart	Peroxiredoxin-1	FABP3	PRDX1	3	7869.147499999999	peroxiredoxin 1
Clusterin	Peroxiredoxin-1	CLU	PRDX1	3	6922.102499999999	peroxiredoxin 1
Complement C3	Peroxiredoxin-1	C3	PRDX1	3	8946.432499999999	peroxiredoxin 1
Complement C1q subcomponent subunit C	Peroxiredoxin-1	C1QC	PRDX1	3	8587.1975	peroxiredoxin 1
Complement C1q subcomponent subunit B	Peroxiredoxin-1	C1QB	PRDX1	3	8183.745000000001	peroxiredoxin 1
Complement C1q subcomponent subunit A	Peroxiredoxin-1	C1QA	PRDX1	3	8508.655	peroxiredoxin 1
Biotinidase	Peroxiredoxin-1	BTD	PRDX1	3	7495.5875	peroxiredoxin 1
Apolipoprotein C-I	Peroxiredoxin-1	APOC1	PRDX1	3	7591.495000000001	peroxiredoxin 1
Protein AMBP	Peroxiredoxin-1	AMBP	PRDX1	3	7429.452500000001	peroxiredoxin 1
Vascular endothelial growth factor D	Aromatase	VEGFD	CYP19A1	1	8470.535	cytochrome P450 family 19 subfamily A member 1
Metalloproteinase inhibitor 4	Aromatase	TIMP4	CYP19A1	1	5513.15	cytochrome P450 family 19 subfamily A member 1
Tissue_factor_pathway_inhibitor	Aromatase	TFPI	CYP19A1	1	8007.372499999999	cytochrome P450 family 19 subfamily A member 1
Osteopontin	Aromatase	SPP1	CYP19A1	1	7760.7125	cytochrome P450 family 19 subfamily A member 1
Plasminogen activator inhibitor 1	Aromatase	SERPINE1	CYP19A1	1	7493.8475	cytochrome P450 family 19 subfamily A member 1
Heparin cofactor 2	Aromatase	SERPIND1	CYP19A1	1	7876.83	cytochrome P450 family 19 subfamily A member 1
Antithrombin-III	Aromatase	SERPINC1	CYP19A1	1	6114.5175	cytochrome P450 family 19 subfamily A member 1
Protein S100-A9	Aromatase	S100A9	CYP19A1	1	8419.8475	cytochrome P450 family 19 subfamily A member 1
Protein S100-A12	Aromatase	S100A12	CYP19A1	1	8037.29	cytochrome P450 family 19 subfamily A member 1
Resistin	Aromatase	RETN	CYP19A1	1	9012.8975	cytochrome P450 family 19 subfamily A member 1
Prolactin	Aromatase	PRL	CYP19A1	1	3720.43	cytochrome P450 family 19 subfamily A member 1
Proteoglycan 4	Aromatase	PRG4	CYP19A1	1	6563.74	cytochrome P450 family 19 subfamily A member 1
Proenkephalin-A	Aromatase	PENK	CYP19A1	1	8388.62	cytochrome P450 family 19 subfamily A member 1
Pappalysin-1	Aromatase	PAPPA	CYP19A1	1	7376.7075	cytochrome P450 family 19 subfamily A member 1
Alpha-1-acid glycoprotein 1	Aromatase	ORM1	CYP19A1	1	7977.3325	cytochrome P450 family 19 subfamily A member 1
Myeloperoxidase	Aromatase	MPO	CYP19A1	1	9372.0925	cytochrome P450 family 19 subfamily A member 1
Matrix metalloproteinase-9	Aromatase	MMP9	CYP19A1	1	9094.98	cytochrome P450 family 19 subfamily A member 1
Interstitial collagenase	Aromatase	MMP1	CYP19A1	1	7980.9275	cytochrome P450 family 19 subfamily A member 1
Mannose-binding protein C	Aromatase	MBL2	CYP19A1	1	4719.68	cytochrome P450 family 19 subfamily A member 1
Lactotransferrin	Aromatase	LTF	CYP19A1	1	9328.9925	cytochrome P450 family 19 subfamily A member 1
Plastin-2	Aromatase	LCP1	CYP19A1	1	8563.0125	cytochrome P450 family 19 subfamily A member 1
Lipopolysaccharide-binding protein	Aromatase	LBP	CYP19A1	1	5464.905000000001	cytochrome P450 family 19 subfamily A member 1
Kininogen-1	Aromatase	KNG1	CYP19A1	1	6563.349999999999	cytochrome P450 family 19 subfamily A member 1
Interleukin-6	Aromatase	IL6	CYP19A1	1	8138.3775	cytochrome P450 family 19 subfamily A member 1
Interleukin-10	Aromatase	IL10	CYP19A1	1	4696.1825	cytochrome P450 family 19 subfamily A member 1
Insulin-like growth factor-binding protein 1	Aromatase	IGFBP1	CYP19A1	1	7422.0425	cytochrome P450 family 19 subfamily A member 1
Haptoglobin	Aromatase	HP	CYP19A1	1	6794.757500000001	cytochrome P450 family 19 subfamily A member 1
Glutamate receptor ionotropic NMDA 2A	Aromatase	GRIN2A	CYP19A1	1	8193.43	cytochrome P450 family 19 subfamily A member 1
Vitamin D-binding protein	Aromatase	GC	CYP19A1	1	7337.995000000001	cytochrome P450 family 19 subfamily A member 1
Fibrinogen gamma chain	Aromatase	FGG	CYP19A1	1	7910.3775	cytochrome P450 family 19 subfamily A member 1
Fibrinogen beta chain	Aromatase	FGB	CYP19A1	1	8062.6575	cytochrome P450 family 19 subfamily A member 1
Fibrinogen alpha chain	Aromatase	FGA	CYP19A1	1	6888.1275000000005	cytochrome P450 family 19 subfamily A member 1
Coagulation factor V	Aromatase	F5	CYP19A1	1	7643.2575	cytochrome P450 family 19 subfamily A member 1
Coagulation factor IX	Aromatase	F9	CYP19A1	1	6915.4275	cytochrome P450 family 19 subfamily A member 1
Prothrombin	Aromatase	F2	CYP19A1	1	8321.3275	cytochrome P450 family 19 subfamily A member 1
Coagulation factor X	Aromatase	F11	CYP19A1	1	7282.91	cytochrome P450 family 19 subfamily A member 1
Coagulation factor XI	Aromatase	F11	CYP19A1	1	7282.91	cytochrome P450 family 19 subfamily A member 1
Coagulation factor X	Aromatase	F11	CYP19A1	1	7282.91	cytochrome P450 family 19 subfamily A member 1
Coagulation factor XI	Aromatase	F11	CYP19A1	1	7282.91	cytochrome P450 family 19 subfamily A member 1
Dickkopf-related protein 1	Aromatase	DKK1	CYP19A1	1	8151.775000000001	cytochrome P450 family 19 subfamily A member 1
Carboxypeptidase N subunit 2	Aromatase	CPN2	CYP19A1	1	7611.9475	cytochrome P450 family 19 subfamily A member 1
Carboxypeptidase B2	Aromatase	CPB2	CYP19A1	1	6157.7125	cytochrome P450 family 19 subfamily A member 1
Coagulation factor XIII B chain	Aromatase	F13B	CYP19A1	1	5875.3725	cytochrome P450 family 19 subfamily A member 1
Complement component C9	Aromatase	C9	CYP19A1	1	5685.2975	cytochrome P450 family 19 subfamily A member 1
Ceruloplasmin	Aromatase	CP	CYP19A1	1	8902.3725	cytochrome P450 family 19 subfamily A member 1
CD5 antigen-like	Aromatase	CD5L	CYP19A1	1	7792.387500000001	cytochrome P450 family 19 subfamily A member 1
Cathelicidin antimicrobial peptide	Aromatase	CAMP	CYP19A1	1	9555.0025	cytochrome P450 family 19 subfamily A member 1
Carbonic anhydrase 1	Aromatase	CA1	CYP19A1	1	7148.264999999999	cytochrome P450 family 19 subfamily A member 1
Apolipoprotein F	Aromatase	APOF	CYP19A1	1	8316.7525	cytochrome P450 family 19 subfamily A member 1
Apolipoprotein B-100	Aromatase	APOB	CYP19A1	1	6501.625000000001	cytochrome P450 family 19 subfamily A member 1
Angiopoietin-related protein 3	Aromatase	ANGPTL3	CYP19A1	1	6927.44	cytochrome P450 family 19 subfamily A member 1
ADM	Aromatase	ADM	CYP19A1	1	7941.844999999999	cytochrome P450 family 19 subfamily A member 1
Adiponectin	Aromatase	ADIPOQ	CYP19A1	1	6345.817499999999	cytochrome P450 family 19 subfamily A member 1
A disintegrin and metalloproteinase with thrombospondin motifs 20	Aromatase	ADAMTS20	CYP19A1	1	4467.835	cytochrome P450 family 19 subfamily A member 1
A disintegrin and metalloproteinase with thrombospondin motifs 2	Aromatase	ADAMTS2	CYP19A1	1	8207.112500000001	cytochrome P450 family 19 subfamily A member 1
Vascular endothelial growth factor B	Gamma-enolase	VEGFB	ENO2	3	3138.4425	enolase 2
Metalloproteinase inhibitor 1	Gamma-enolase	TIMP1	ENO2	3	7239.7875	enolase 2
Osteopontin	Gamma-enolase	SPP1	ENO2	3	6837.0425	enolase 2
Spermine oxidase	Gamma-enolase	SMOX	ENO2	3	7906.5875	enolase 2
Plasminogen activator inhibitor 1	Gamma-enolase	SERPINE1	ENO2	3	6007.6175	enolase 2
Peroxiredoxin-2	Gamma-enolase	PRDX2	ENO2	3	7169.05	enolase 2
Matrix metalloproteinase-9	Gamma-enolase	MMP9	ENO2	3	8708.3175	enolase 2
Interstitial collagenase	Gamma-enolase	MMP1	ENO2	3	7727.5275	enolase 2
Melanotransferrin	Gamma-enolase	MELTF	ENO2	3	6165.047500000001	enolase 2
Microtubule-associated protein tau	Gamma-enolase	MAPT	ENO2	3	7468.565	enolase 2
Insulin-like growth factor-binding protein 3	Gamma-enolase	IGFBP3	ENO2	3	7030.23	enolase 2
Ferritin heavy chain	Gamma-enolase	FTH1	ENO2	3	7708.395	enolase 2
Fatty acid-binding protein heart	Gamma-enolase	FABP3	ENO2	3	6619.977500000001	enolase 2
Clusterin	Gamma-enolase	CLU	ENO2	3	7706.7225	enolase 2
Extracellular matrix protein 1	Gamma-enolase	ECM1	ENO2	3	6899.289999999999	enolase 2
ADM	Gamma-enolase	ADM	ENO2	3	6370.530000000001	enolase 2
Vascular endothelial growth factor B	Heat shock protein beta-1	VEGFB	HSPB1	2	5306.885	heat shock protein family B (small) member 1
Vasorin	Heat shock protein beta-1	VASN	HSPB1	2	7366.705	heat shock protein family B (small) member 1
Tumor necrosis factor receptor superfamily member 1A	Heat shock protein beta-1	TNFRSF1A	HSPB1	2	6685.025	heat shock protein family B (small) member 1
Metalloproteinase inhibitor 1	Heat shock protein beta-1	TIMP1	HSPB1	2	5520.94	heat shock protein family B (small) member 1
TBC1 domain family member 10A	Heat shock protein beta-1	TBC1D10A	HSPB1	2	5878.2425	heat shock protein family B (small) member 1
SPARC	Heat shock protein beta-1	SPARC	HSPB1	2	6685.9925	heat shock protein family B (small) member 1
Plasma protease C1 inhibitor	Heat shock protein beta-1	SERPING1	HSPB1	2	8535.404999999999	heat shock protein family B (small) member 1
Plasminogen activator inhibitor 1	Heat shock protein beta-1	SERPINE1	HSPB1	2	5123.4	heat shock protein family B (small) member 1
Alpha-1-antichymotrypsin	Heat shock protein beta-1	SERPINA3	HSPB1	2	7688.352500000001	heat shock protein family B (small) member 1
Endothelial protein C receptor	Heat shock protein beta-1	PROCR	HSPB1	2	8047.994999999999	heat shock protein family B (small) member 1
Peroxiredoxin-1	Heat shock protein beta-1	PRDX1	HSPB1	2	4620.86	heat shock protein family B (small) member 1
Phospholipid transfer protein	Heat shock protein beta-1	PLTP	HSPB1	2	6685.785	heat shock protein family B (small) member 1
Matrix Gla protein	Heat shock protein beta-1	MGP	HSPB1	2	7167.2875	heat shock protein family B (small) member 1
Galectin-3-binding protein	Heat shock protein beta-1	LGALS3BP	HSPB1	2	6075.9625	heat shock protein family B (small) member 1
Galectin-3	Heat shock protein beta-1	LGALS3	HSPB1	2	7257.0425	heat shock protein family B (small) member 1
Keratin type I cytoskeletal 10	Heat shock protein beta-1	KRT10	HSPB1	2	6541.6	heat shock protein family B (small) member 1
Insulin-like growth factor-binding protein 2	Heat shock protein beta-1	IGFBP2	HSPB1	2	5544.4875	heat shock protein family B (small) member 1
60 kDa heat shock protein mitochondrial	Heat shock protein beta-1	HSPD1	HSPB1	2	5852.25	heat shock protein family B (small) member 1
Hemoglobin subunit alpha	Heat shock protein beta-1	HBA1	HSPB1	2	8363.17	heat shock protein family B (small) member 1
Glutathione S-transferase P	Heat shock protein beta-1	GSTP1	HSPB1	2	6895.935	heat shock protein family B (small) member 1
Gelsolin	Heat shock protein beta-1	GSN	HSPB1	2	5179.5825	heat shock protein family B (small) member 1
Ferritin light chain	Heat shock protein beta-1	FTL	HSPB1	2	6902.639999999999	heat shock protein family B (small) member 1
Fibulin-1	Heat shock protein beta-1	FBLN1	HSPB1	2	7205.255	heat shock protein family B (small) member 1
Clusterin	Heat shock protein beta-1	CLU	HSPB1	2	5390.7725	heat shock protein family B (small) member 1
Elastin	Heat shock protein beta-1	ELN	HSPB1	2	7148.545	heat shock protein family B (small) member 1
Extracellular matrix protein 1	Heat shock protein beta-1	ECM1	HSPB1	2	5289.5275	heat shock protein family B (small) member 1
Desmoplakin	Heat shock protein beta-1	DSP	HSPB1	2	7400.8025	heat shock protein family B (small) member 1
Collagen alpha-1(I) chain	Heat shock protein beta-1	COL1A1	HSPB1	2	6112.95	heat shock protein family B (small) member 1
Collagen alpha-1(III) chain	Heat shock protein beta-1	COL3A1	HSPB1	2	8596.2125	heat shock protein family B (small) member 1
Calponin-1	Heat shock protein beta-1	CNN1	HSPB1	2	6093.3425	heat shock protein family B (small) member 1
Complement C1q subcomponent subunit B	Heat shock protein beta-1	C1QB	HSPB1	2	8197.705	heat shock protein family B (small) member 1
Collagen alpha-2(I) chain	Heat shock protein beta-1	COL1A2	HSPB1	2	8333.8675	heat shock protein family B (small) member 1
Apolipoprotein D	Heat shock protein beta-1	APOD	HSPB1	2	8439.592499999999	heat shock protein family B (small) member 1
Actin, alpha cardiac muscle 1	Heat shock protein beta-1	ACTC1	HSPB1	2	7880.264999999999	heat shock protein family B (small) member 1
Actin, aortic smooth muscle	Heat shock protein beta-1	ACTA2	HSPB1	2	6475.4425	heat shock protein family B (small) member 1
Alpha-1B-glycoprotein_VAR_018369	Heat shock protein beta-1	A1BG	HSPB1	2	8381.4625	heat shock protein family B (small) member 1
Vascular endothelial growth factor B	Fatty acid-binding protein heart	VEGFB	FABP3	2	5413.135	fatty acid binding protein 3
Vasorin	Fatty acid-binding protein heart	VASN	FABP3	2	8065.692500000001	fatty acid binding protein 3
Metalloproteinase inhibitor 4	Fatty acid-binding protein heart	TIMP4	FABP3	2	6140.5025	fatty acid binding protein 3
Metalloproteinase inhibitor 2	Fatty acid-binding protein heart	TIMP2	FABP3	2	7494.5675	fatty acid binding protein 3
Thrombospondin-4	Fatty acid-binding protein heart	THBS4	FABP3	2	7508.402500000001	fatty acid binding protein 3
Osteopontin	Fatty acid-binding protein heart	SPP1	FABP3	2	5595.5875	fatty acid binding protein 3
Pigment epithelium-derived factor	Fatty acid-binding protein heart	SERPINF1	FABP3	2	7492.35	fatty acid binding protein 3
Retinol-binding protein 4	Fatty acid-binding protein heart	RBP4	FABP3	2	5835.092500000001	fatty acid binding protein 3
Ras GTPase-activating protein nGAP	Fatty acid-binding protein heart	RASAL2	FABP3	2	7373.825	fatty acid binding protein 3
Proteoglycan 4	Fatty acid-binding protein heart	PRG4	FABP3	2	6925.865	fatty acid binding protein 3
Peroxiredoxin-1	Fatty acid-binding protein heart	PRDX1	FABP3	2	7869.147499999999	fatty acid binding protein 3
Phospholipid transfer protein	Fatty acid-binding protein heart	PLTP	FABP3	2	6513.552500000001	fatty acid binding protein 3
Platelet-activating factor acetylhydrolase	Fatty acid-binding protein heart	PLA2G7	FABP3	2	4464.575	fatty acid binding protein 3
Proenkephalin-A	Fatty acid-binding protein heart	PENK	FABP3	2	8551.78	fatty acid binding protein 3
Oxidized low-density lipoprotein receptor 1	Fatty acid-binding protein heart	OLR1	FABP3	2	6747.26	fatty acid binding protein 3
Atrial natriuretic peptide receptor 1	Fatty acid-binding protein heart	NPR1	FABP3	2	5874.885	fatty acid binding protein 3
Beta-nerve growth factor	Fatty acid-binding protein heart	NGF	FABP3	2	7696.567499999999	fatty acid binding protein 3
Matrix Gla protein	Fatty acid-binding protein heart	MGP	FABP3	2	8163.15	fatty acid binding protein 3
Mannan-binding lectin serine protease 1	Fatty acid-binding protein heart	MASP1	FABP3	2	6991.550000000001	fatty acid binding protein 3
Microtubule-associated protein tau	Fatty acid-binding protein heart	MAPT	FABP3	2	7155.785	fatty acid binding protein 3
Galectin-3	Fatty acid-binding protein heart	LGALS3	FABP3	2	6674.3625	fatty acid binding protein 3
Insulin-like growth factor I	Fatty acid-binding protein heart	IGF1	FABP3	2	7281.6525	fatty acid binding protein 3
Glutathione peroxidase 3	Fatty acid-binding protein heart	GPX3	FABP3	2	5041.035	fatty acid binding protein 3
Ferritin light chain	Fatty acid-binding protein heart	FTL	FABP3	2	5364.31	fatty acid binding protein 3
Ferritin heavy chain	Fatty acid-binding protein heart	FTH1	FABP3	2	6410.7575	fatty acid binding protein 3
Gamma-enolase	Fatty acid-binding protein heart	ENO2	FABP3	2	6619.977500000001	fatty acid binding protein 3
Extracellular matrix protein 1	Fatty acid-binding protein heart	ECM1	FABP3	2	6159.8775000000005	fatty acid binding protein 3
Calponin-1	Fatty acid-binding protein heart	CNN1	FABP3	2	6661.0725	fatty acid binding protein 3
Tetranectin	Fatty acid-binding protein heart	CLEC3B	FABP3	2	6737.165	fatty acid binding protein 3
Complement factor B	Fatty acid-binding protein heart	CFD	FABP3	2	7890.9975	fatty acid binding protein 3
Complement factor D	Fatty acid-binding protein heart	CFD	FABP3	2	7890.9975	fatty acid binding protein 3
CD5 antigen-like	Fatty acid-binding protein heart	CD5L	FABP3	2	6805.15	fatty acid binding protein 3
Complement component C7	Fatty acid-binding protein heart	C7	FABP3	2	7875.0925	fatty acid binding protein 3
Complement C2	Fatty acid-binding protein heart	C2	FABP3	2	7330.552500000001	fatty acid binding protein 3
Complement C1q subcomponent subunit C	Fatty acid-binding protein heart	C1QC	FABP3	2	5388.612499999999	fatty acid binding protein 3
Complement C1q subcomponent subunit B	Fatty acid-binding protein heart	C1QB	FABP3	2	5771.7825	fatty acid binding protein 3
Complement C1q subcomponent subunit A	Fatty acid-binding protein heart	C1QA	FABP3	2	6152.4925	fatty acid binding protein 3
Apolipoprotein E	Fatty acid-binding protein heart	APOE	FABP3	2	2773.58	fatty acid binding protein 3
Apolipoprotein D	Fatty acid-binding protein heart	APOD	FABP3	2	8100.04	fatty acid binding protein 3
Apolipoprotein C-II	Fatty acid-binding protein heart	APOC2	FABP3	2	5144.64	fatty acid binding protein 3
Apolipoprotein C-I	Fatty acid-binding protein heart	APOC1	FABP3	2	2532.19	fatty acid binding protein 3
Angiotensinogen	Fatty acid-binding protein heart	AGT	FABP3	2	6522.445000000001	fatty acid binding protein 3
Actin, alpha cardiac muscle 1	Fatty acid-binding protein heart	ACTC1	FABP3	2	5279.799999999999	fatty acid binding protein 3
Target of Nesh-SH3	Fatty acid-binding protein heart	ABI3BP	FABP3	2	7728.315	fatty acid binding protein 3
Alpha-2-macroglobulin	Fatty acid-binding protein heart	A2M	FABP3	2	4428.8325	fatty acid binding protein 3
Vascular endothelial growth factor B	Glutathione S-transferase P	VEGFB	GSTP1	2	7043.862500000001	glutathione S-transferase pi 1
Metalloproteinase inhibitor 1	Glutathione S-transferase P	TIMP1	GSTP1	2	5695.765	glutathione S-transferase pi 1
SPARC	Glutathione S-transferase P	SPARC	GSTP1	2	7892.9575	glutathione S-transferase pi 1
Serum amyloid A-1	Glutathione S-transferase P	SAA1	GSTP1	2	9795.186666666666	glutathione S-transferase pi 1
Endothelial protein C receptor	Glutathione S-transferase P	PROCR	GSTP1	2	6968.8025	glutathione S-transferase pi 1
Peroxiredoxin-1	Glutathione S-transferase P	PRDX1	GSTP1	2	2886.3575	glutathione S-transferase pi 1
Phospholipid transfer protein	Glutathione S-transferase P	PLTP	GSTP1	2	4588.9925	glutathione S-transferase pi 1
Xaa-Pro dipeptidase	Glutathione S-transferase P	PEPD	GSTP1	2	6159.4475	glutathione S-transferase pi 1
Protein_deglycase_DJ-1	Glutathione S-transferase P	PARK7	GSTP1	2	6074.2975	glutathione S-transferase pi 1
Nucleoside diphosphate kinase A	Glutathione S-transferase P	NME1	GSTP1	2	7399.9825	glutathione S-transferase pi 1
Melanotransferrin	Glutathione S-transferase P	MELTF	GSTP1	2	8752.8525	glutathione S-transferase pi 1
Galectin-3-binding protein	Glutathione S-transferase P	LGALS3BP	GSTP1	2	7981.9425	glutathione S-transferase pi 1
Galectin-3	Glutathione S-transferase P	LGALS3	GSTP1	2	6139.8575	glutathione S-transferase pi 1
Neutrophil gelatinase-associated lipocalin	Glutathione S-transferase P	LCN2	GSTP1	2	8204.7925	glutathione S-transferase pi 1
Insulin-like growth factor-binding protein 2	Glutathione S-transferase P	IGFBP2	GSTP1	2	6783.705	glutathione S-transferase pi 1
Heat shock protein beta-1	Glutathione S-transferase P	HSPB1	GSTP1	2	6895.935	glutathione S-transferase pi 1
Gelsolin	Glutathione S-transferase P	GSN	GSTP1	2	6262.6375	glutathione S-transferase pi 1
Glutathione peroxidase 3	Glutathione S-transferase P	GPX3	GSTP1	2	8326.0075	glutathione S-transferase pi 1
Ferritin light chain	Glutathione S-transferase P	FTL	GSTP1	2	3921.480000000001	glutathione S-transferase pi 1
Tetranectin	Glutathione S-transferase P	CLEC3B	GSTP1	2	8394.984999999999	glutathione S-transferase pi 1
CD44 antigen	Glutathione S-transferase P	CD44	GSTP1	2	8092.1925	glutathione S-transferase pi 1
